Gate_Name,Measure_Values
ranger-base,"1,996"
entrance1,"6,267"
ranger-stop4,612
ranger-stop1,466
camping5,"3,184"
gate2,440
camping2,"2,280"
camping3,"2,464"
camping4,"2,772"
camping0,"1,590"
gate1,124
entrance0,"6,576"
gate0,124
general-gate1,"14,677"
general-gate7,"16,119"
general-gate4,"10,974"
ranger-stop2,"15,019"
ranger-stop0,"15,078"
gate7,670
ranger-stop7,672
general-gate2,"14,801"
general-gate0,216
entrance3,"8,531"
gate6,1185
ranger-stop6,1878
general-gate5,9435
camping1,340
gate5,1671
general-gate6,2194
gate8,1996
entrance4,6953
ranger-stop3,1236
gate3,1234
camping6,2465
ranger-stop5,920
gate4,916
camping7,2190
entrance2,7133
camping8,3220
general-gate3,859
